binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
libmariadb3	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz.asc	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz.asc
libmd0	1.0.4-2	libmd	1.0.4-2	libmd/1.0.4-2/libmd_1.0.4-2.debian.tar.xz	libmd/1.0.4-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libmd/1.0.4-2/libmd_1.0.4-2.debian.tar.xz
libmd0	1.0.4-2	libmd	1.0.4-2	libmd/1.0.4-2/libmd_1.0.4-2.dsc	libmd/1.0.4-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libmd/1.0.4-2/libmd_1.0.4-2.dsc
libmd0	1.0.4-2	libmd	1.0.4-2	libmd/1.0.4-2/libmd_1.0.4.orig.tar.xz	libmd/1.0.4-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libmd/1.0.4-2/libmd_1.0.4.orig.tar.xz
libmd0	1.0.4-2	libmd	1.0.4-2	libmd/1.0.4-2/libmd_1.0.4.orig.tar.xz.asc	libmd/1.0.4-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libmd/1.0.4-2/libmd_1.0.4.orig.tar.xz.asc
libmd4c-dev	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8-1.debian.tar.xz	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8-1.debian.tar.xz
libmd4c-dev	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8-1.dsc	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8-1.dsc
libmd4c-dev	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8.orig.tar.gz	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8.orig.tar.gz
libmd4c0	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8-1.debian.tar.xz	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8-1.debian.tar.xz
libmd4c0	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8-1.dsc	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8-1.dsc
libmd4c0	0.4.8-1	md4c	0.4.8-1	md4c/0.4.8-1/md4c_0.4.8.orig.tar.gz	md4c/0.4.8-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/md4c/0.4.8-1/md4c_0.4.8.orig.tar.gz
libmount-dev	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.debian.tar.xz	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.debian.tar.xz
libmount-dev	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.dsc	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.dsc
libmount-dev	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1.orig.tar.xz	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1.orig.tar.xz
libmount1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.debian.tar.xz	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.debian.tar.xz
libmount1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.dsc	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1-5+deb12u3.dsc
libmount1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3	util-linux/2.38.1-5+deb12u3/util-linux_2.38.1.orig.tar.xz	util-linux/2.38.1-5+deb12u3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/util-linux/2.38.1-5+deb12u3/util-linux_2.38.1.orig.tar.xz
libmp3lame0	3.100-6	lame	3.100-6	lame/3.100-6/lame_3.100-6.debian.tar.xz	lame/3.100-6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/lame/3.100-6/lame_3.100-6.debian.tar.xz
libmp3lame0	3.100-6	lame	3.100-6	lame/3.100-6/lame_3.100-6.dsc	lame/3.100-6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/lame/3.100-6/lame_3.100-6.dsc
libmp3lame0	3.100-6	lame	3.100-6	lame/3.100-6/lame_3.100.orig.tar.gz	lame/3.100-6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/lame/3.100-6/lame_3.100.orig.tar.gz
libmpc3	1.3.1-1	mpclib3	1.3.1-1	mpclib3/1.3.1-1/mpclib3_1.3.1-1.debian.tar.xz	mpclib3/1.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpclib3/1.3.1-1/mpclib3_1.3.1-1.debian.tar.xz
libmpc3	1.3.1-1	mpclib3	1.3.1-1	mpclib3/1.3.1-1/mpclib3_1.3.1-1.dsc	mpclib3/1.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpclib3/1.3.1-1/mpclib3_1.3.1-1.dsc
libmpc3	1.3.1-1	mpclib3	1.3.1-1	mpclib3/1.3.1-1/mpclib3_1.3.1.orig.tar.gz	mpclib3/1.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpclib3/1.3.1-1/mpclib3_1.3.1.orig.tar.gz
libmpfr6	4.2.0-1	mpfr4	4.2.0-1	mpfr4/4.2.0-1/mpfr4_4.2.0-1.debian.tar.xz	mpfr4/4.2.0-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpfr4/4.2.0-1/mpfr4_4.2.0-1.debian.tar.xz
libmpfr6	4.2.0-1	mpfr4	4.2.0-1	mpfr4/4.2.0-1/mpfr4_4.2.0-1.dsc	mpfr4/4.2.0-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpfr4/4.2.0-1/mpfr4_4.2.0-1.dsc
libmpfr6	4.2.0-1	mpfr4	4.2.0-1	mpfr4/4.2.0-1/mpfr4_4.2.0.orig.tar.xz	mpfr4/4.2.0-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpfr4/4.2.0-1/mpfr4_4.2.0.orig.tar.xz
libmpg123-0	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1	mpg123/1.31.2-1+deb12u1/mpg123_1.31.2-1+deb12u1.debian.tar.xz	mpg123/1.31.2-1+deb12u1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpg123/1.31.2-1+deb12u1/mpg123_1.31.2-1+deb12u1.debian.tar.xz
libmpg123-0	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1	mpg123/1.31.2-1+deb12u1/mpg123_1.31.2-1+deb12u1.dsc	mpg123/1.31.2-1+deb12u1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpg123/1.31.2-1+deb12u1/mpg123_1.31.2-1+deb12u1.dsc
libmpg123-0	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1	mpg123/1.31.2-1+deb12u1/mpg123_1.31.2.orig.tar.bz2	mpg123/1.31.2-1+deb12u1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpg123/1.31.2-1+deb12u1/mpg123_1.31.2.orig.tar.bz2
libmpg123-0	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1	mpg123/1.31.2-1+deb12u1/mpg123_1.31.2.orig.tar.bz2.asc	mpg123/1.31.2-1+deb12u1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mpg123/1.31.2-1+deb12u1/mpg123_1.31.2.orig.tar.bz2.asc
libmtdev-dev	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6-1.debian.tar.xz	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6-1.debian.tar.xz
libmtdev-dev	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6-1.dsc	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6-1.dsc
libmtdev-dev	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6.orig.tar.gz	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6.orig.tar.gz
libmtdev1	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6-1.debian.tar.xz	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6-1.debian.tar.xz
libmtdev1	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6-1.dsc	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6-1.dsc
libmtdev1	1.1.6-1	mtdev	1.1.6-1	mtdev/1.1.6-1/mtdev_1.1.6.orig.tar.gz	mtdev/1.1.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mtdev/1.1.6-1/mtdev_1.1.6.orig.tar.gz
libncursesw6	6.4-4	ncurses	6.4-4	ncurses/6.4-4/ncurses_6.4-4.debian.tar.xz	ncurses/6.4-4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/ncurses/6.4-4/ncurses_6.4-4.debian.tar.xz
libncursesw6	6.4-4	ncurses	6.4-4	ncurses/6.4-4/ncurses_6.4-4.dsc	ncurses/6.4-4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/ncurses/6.4-4/ncurses_6.4-4.dsc
libncursesw6	6.4-4	ncurses	6.4-4	ncurses/6.4-4/ncurses_6.4.orig.tar.gz	ncurses/6.4-4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/ncurses/6.4-4/ncurses_6.4.orig.tar.gz
libncursesw6	6.4-4	ncurses	6.4-4	ncurses/6.4-4/ncurses_6.4.orig.tar.gz.asc	ncurses/6.4-4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/ncurses/6.4-4/ncurses_6.4.orig.tar.gz.asc
libnettle8	3.8.1-2	nettle	3.8.1-2	nettle/3.8.1-2/nettle_3.8.1-2.debian.tar.xz	nettle/3.8.1-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nettle/3.8.1-2/nettle_3.8.1-2.debian.tar.xz
libnettle8	3.8.1-2	nettle	3.8.1-2	nettle/3.8.1-2/nettle_3.8.1-2.dsc	nettle/3.8.1-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nettle/3.8.1-2/nettle_3.8.1-2.dsc
libnettle8	3.8.1-2	nettle	3.8.1-2	nettle/3.8.1-2/nettle_3.8.1.orig.tar.gz	nettle/3.8.1-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nettle/3.8.1-2/nettle_3.8.1.orig.tar.gz
libnettle8	3.8.1-2	nettle	3.8.1-2	nettle/3.8.1-2/nettle_3.8.1.orig.tar.gz.asc	nettle/3.8.1-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nettle/3.8.1-2/nettle_3.8.1.orig.tar.gz.asc
libnghttp2-14	1.52.0-1+deb12u2	nghttp2	1.52.0-1+deb12u2	nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0-1+deb12u2.debian.tar.xz	nghttp2/1.52.0-1+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0-1+deb12u2.debian.tar.xz
libnghttp2-14	1.52.0-1+deb12u2	nghttp2	1.52.0-1+deb12u2	nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0-1+deb12u2.dsc	nghttp2/1.52.0-1+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0-1+deb12u2.dsc
libnghttp2-14	1.52.0-1+deb12u2	nghttp2	1.52.0-1+deb12u2	nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0.orig.tar.gz	nghttp2/1.52.0-1+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/nghttp2/1.52.0-1+deb12u2/nghttp2_1.52.0.orig.tar.gz
libnpth0	1.6-3	npth	1.6-3	npth/1.6-3/npth_1.6-3.debian.tar.xz	npth/1.6-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/npth/1.6-3/npth_1.6-3.debian.tar.xz
libnpth0	1.6-3	npth	1.6-3	npth/1.6-3/npth_1.6-3.dsc	npth/1.6-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/npth/1.6-3/npth_1.6-3.dsc
libnpth0	1.6-3	npth	1.6-3	npth/1.6-3/npth_1.6.orig.tar.bz2	npth/1.6-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/npth/1.6-3/npth_1.6.orig.tar.bz2
libnsl-dev	1.3.0-2	libnsl	1.3.0-2	libnsl/1.3.0-2/libnsl_1.3.0-2.debian.tar.xz	libnsl/1.3.0-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libnsl/1.3.0-2/libnsl_1.3.0-2.debian.tar.xz
libnsl-dev	1.3.0-2	libnsl	1.3.0-2	libnsl/1.3.0-2/libnsl_1.3.0-2.dsc	libnsl/1.3.0-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libnsl/1.3.0-2/libnsl_1.3.0-2.dsc
libnsl-dev	1.3.0-2	libnsl	1.3.0-2	libnsl/1.3.0-2/libnsl_1.3.0.orig.tar.xz	libnsl/1.3.0-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libnsl/1.3.0-2/libnsl_1.3.0.orig.tar.xz
